county,state,2016,2017,2018,rank in State,% change 2017,% change 2018,rank 2018
Creek,Oklahoma,38373,38749,40791,32,1,5.3,24
Dewey,Oklahoma,40642,40245,44529,16,-1,10.6,3
Garvin,Oklahoma,34679,36372,38135,39,4.9,4.8,30
Harmon,Oklahoma,36174,35064,35642,52,-3.1,1.6,72
Hughes,Oklahoma,29019,30335,31833,71,4.5,4.9,28
Kay,Oklahoma,38237,38992,40881,31,2,4.8,31
Kingfisher,Oklahoma,44057,46572,49257,6,5.7,5.8,17
Latimer,Oklahoma,32363,31867,32707,62,-1.5,2.6,64
Le Flore,Oklahoma,30613,31925,32677,64,4.3,2.4,68
Love,Oklahoma,35820,36160,37547,41,0.9,3.8,52
McClain,Oklahoma,41891,43174,45143,13,3.1,4.6,40
McCurtain,Oklahoma,30350,31105,31648,72,2.5,1.7,71
Major,Oklahoma,38290,40204,43762,19,5,8.8,4
Mayes,Oklahoma,33051,33357,35197,54,0.9,5.5,21
Muskogee,Oklahoma,34731,35112,36759,44,1.1,4.7,36
Nowata,Oklahoma,33361,34386,36165,47,3.1,5.2,25
Okfuskee,Oklahoma,28506,28627,30092,75,0.4,5.1,26
Okmulgee,Oklahoma,31702,32391,33971,58,2.2,4.9,29
Payne,Oklahoma,34461,35285,37159,43,2.4,5.3,23
Pittsburg,Oklahoma,35373,36456,38551,37,3.1,5.7,19
Pushmataha,Oklahoma,31258,30841,31395,73,-1.3,1.8,70
Roger Mills,Oklahoma,44243,43257,48554,8,-2.2,12.2,1
Rogers,Oklahoma,42056,43717,45815,11,3.9,4.8,33
Sequoyah,Oklahoma,31801,32171,33420,60,1.2,3.9,51
Tillman,Oklahoma,39356,40902,39961,34,3.9,-2.3,77
Tulsa,Oklahoma,53713,58024,62756,2,8,8.2,6
Wagoner,Oklahoma,37146,37728,39550,36,1.6,4.8,32
Washita,Oklahoma,30953,33857,36490,46,9.4,7.8,7
Woods,Oklahoma,41442,40195,42890,23,-3,6.7,12
Woodward,Oklahoma,40132,41901,43906,18,4.4,4.8,34
Clackamas,Oregon,53777,55478,58608,2,3.2,5.6,9
Clatsop, Oregon,41384,43220,45069,13,4.4,4.3,29
Crook, Oregon,38443,39763,40945,25,3.4,3,35
Deschutes, Oregon,50195,53033,55143,5,5.7,4,31
Gilliam, Oregon,45313,45345,48448,7,0.1,6.8,4
Harney, Oregon,37435,36911,39122,32,-1.4,6,7
Hood River, Oregon,49463,52750,56624,4,6.6,7.3,3
Josephine, Oregon,37775,39166,40977,24,3.7,4.6,24
Klamath, Oregon,37285,38367,39891,29,2.9,4,32
Malheur, Oregon,29404,29463,30992,36,0.2,5.2,12
Multnomah, Oregon,52055,54726,57850,3,5.1,5.7,8
Tillamook, Oregon,40820,42509,44492,14,4.1,4.7,21
Umatilla, Oregon,36894,37734,39684,31,2.3,5.2,13
Wallowa, Oregon,42677,43005,45099,12,0.8,4.9,19
Wasco, Oregon,41836,42170,43658,17,0.8,3.5,34
Yamhill, Oregon,41600,43328,45478,11,4.2,5,17
Pennsylvania,Pennsylvania,51614,53144,56225,--,3,5.8,--
Allegheny,Pennsylvania,55464,58965,62958,5,6.3,6.8,5
Armstrong,Pennsylvania,40120,42553,45510,31,6.1,6.9,3
Bedford,Pennsylvania,38435,40551,42889,47,5.5,5.8,32
Berks,Pennsylvania,45863,47412,49945,18,3.4,5.3,45
Blair,Pennsylvania,42717,44160,46743,26,3.4,5.8,29
Bucks,Pennsylvania,67358,69658,73447,3,3.4,5.4,42
Cambria,Pennsylvania,39656,40721,43420,45,2.7,6.6,8
Centre,Pennsylvania,42183,44527,46193,28,5.6,3.7,67
Chester,Pennsylvania,74739,78645,82846,1,5.2,5.3,46
Clarion,Pennsylvania,38443,39286,41732,57,2.2,6.2,15
Clearfield,Pennsylvania,40799,42452,44421,40,4.1,4.6,57
Dauphin,Pennsylvania,47037,48733,51100,15,3.6,4.9,52
Forest,Pennsylvania,21862,21458,22787,67,-1.8,6.2,17
Huntingdon,Pennsylvania,34707,36339,38558,66,4.7,6.1,22
Juniata,Pennsylvania,39453,43589,45277,34,10.5,3.9,66
Lackawanna,Pennsylvania,44149,45388,47730,25,2.8,5.2,49
Lebanon,Pennsylvania,44177,46194,48352,23,4.6,4.7,55
Lehigh,Pennsylvania,49679,50697,53614,12,2,5.8,33
Luzerne,Pennsylvania,41900,43015,45219,36,2.7,5.1,50
Lycoming,Pennsylvania,39990,41587,43823,44,4,5.4,44
McKean,Pennsylvania,41477,42841,45261,35,3.3,5.6,39
Mifflin,Pennsylvania,36080,37730,39738,64,4.6,5.3,47
Montour,Pennsylvania,53229,55164,57426,8,3.6,4.1,63
Northumberland,Pennsylvania,38275,40024,41712,58,4.6,4.2,62
Philadelphia,Pennsylvania,54408,52629,55747,9,-3.3,5.9,26
Potter,Pennsylvania,37357,40149,42819,50,7.5,6.7,7
Schuylkill,Pennsylvania,39075,40585,42862,49,3.9,5.6,40
Snyder,Pennsylvania,38721,40322,42449,53,4.1,5.3,48
Susquehanna,Pennsylvania,39793,42589,45336,32,7,6.5,10
Venango,Pennsylvania,38504,39572,42223,54,2.8,6.7,6
Westmoreland,Pennsylvania,47363,49062,52200,14,3.6,6.4,12
Rhode Island,Rhode Island,50541,52379,54850,--,3.6,4.7,--
Newport,Rhode Island,61863,65072,68679,2,5.2,5.5,2
Providence,Rhode Island,44577,46164,48137,5,3.6,4.3,5
South Carolina,South Carolina,40404,42081,43702,--,4.2,3.9,--
Abbeville,South Carolina,31893,32937,34108,30,3.3,3.6,32
Aiken,South Carolina,39387,40893,42511,11,3.8,4,20
Allendale,South Carolina,29642,31593,33237,34,6.6,5.2,4
Bamberg,South Carolina,31047,31915,32858,37,2.8,3,38
Barnwell,South Carolina,31489,32117,33363,33,2,3.9,23
Berkeley,South Carolina,36813,38885,40415,14,5.6,3.9,21
Charleston,South Carolina,55573,58588,61477,1,5.4,4.9,6
Chesterfield,South Carolina,28336,29480,31012,44,4,5.2,5
Clarendon,South Carolina,30846,31979,33197,35,3.7,3.8,25
Darlington,South Carolina,34273,35965,37475,22,4.9,4.2,16
Dillon,South Carolina,26281,27035,27718,46,2.9,2.5,44
Edgefield,South Carolina,33600,35426,36436,26,5.4,2.9,41
Florence,South Carolina,38998,39941,41833,12,2.4,4.7,8
Georgetown,South Carolina,42897,45167,47071,5,5.3,4.2,15
Greenville,South Carolina,44869,46922,48644,4,4.6,3.7,28
Hampton,South Carolina,29866,31054,32473,41,4,4.6,10
Horry,South Carolina,35095,35971,37091,24,2.5,3.1,37
Kershaw,South Carolina,38575,40130,41227,13,4,2.7,42
Lexington,South Carolina,43666,45533,46513,7,4.3,2.2,46
McCormick,South Carolina,33977,36014,38513,18,6,6.9,1
Marlboro,South Carolina,28848,29857,31562,42,3.5,5.7,2
Newberry,South Carolina,35946,36802,37793,21,2.4,2.7,43
Orangeburg,South Carolina,31632,32849,33818,32,3.8,2.9,39
Saluda,South Carolina,32473,33625,34455,29,3.5,2.5,45
Spartanburg,South Carolina,40785,41783,43148,10,2.4,3.3,36
Williamsburg,South Carolina,30013,31437,32726,39,4.7,4.1,19
South Dakota,South Dakota,48627,49554,52216,--,1.9,5.4,--
Aurora,South Dakota,40661,42188,45253,47,3.8,7.3,29
Beadle,South Dakota,48832,46034,49246,35,-5.7,7,33
Bennett,South Dakota,26808,28660,29462,60,6.9,2.8,58
Bon Homme,South Dakota,33875,35017,38851,54,3.4,10.9,21
Brookings,South Dakota,44118,43952,46302,45,-0.4,5.3,42
Brule,South Dakota,40872,42426,46570,44,3.8,9.8,24
Charles Mix,South Dakota,39701,39423,44877,48,-0.7,13.8,11
Codington,South Dakota,44518,46732,49518,34,5,6,39
Corson,South Dakota,26227,26699,29927,59,1.8,12.1,16
Davison,South Dakota,47767,48035,50794,27,0.6,5.7,40
Day,South Dakota,41171,42440,47352,42,3.1,11.6,18
Edmunds,South Dakota,44248,44492,52029,22,0.6,16.9,6
Fall River,South Dakota,44010,45055,46885,43,2.4,4.1,50
Faulk,South Dakota,34078,36548,42762,51,7.2,17,5
Gregory,South Dakota,43088,45911,48209,40,6.6,5,44
Haakon,South Dakota,44190,46388,49880,31,5,7.5,26
Hamlin,South Dakota,42138,41278,44209,49,-2,7.1,32
Hand,South Dakota,44942,46450,55673,12,3.4,19.9,2
Hanson,South Dakota,58164,62500,66614,6,7.5,6.6,37
Hutchinson,South Dakota,47581,47139,53179,14,-0.9,12.8,12
Jerauld,South Dakota,48633,49664,54425,13,2.1,9.6,25
Kingsbury,South Dakota,47124,44774,50975,26,-5,13.8,10
Lyman,South Dakota,39882,39763,47431,41,-0.3,19.3,3
McCook,South Dakota,47141,48903,52453,19,3.7,7.3,30
Mellette,South Dakota,23912,27828,28152,61,16.4,1.2,62
Miner,South Dakota,42324,47041,52938,16,11.1,12.5,13
Minnehaha,South Dakota,53108,55037,57223,10,3.6,4,51
Moody,South Dakota,48680,46213,49690,33,-5.1,7.5,27
Oglala Lakota,South Dakota,23188,23987,25047,64,3.4,4.4,48
Roberts,South Dakota,33799,33352,36929,57,-1.3,10.7,22
Sanborn,South Dakota,43457,45654,48731,36,5.1,6.7,34
Spink,South Dakota,49826,47123,52479,18,-5.4,11.4,19
Stanley,South Dakota,63218,66251,73776,3,4.8,11.4,20
Sully,South Dakota,57016,64360,76036,2,12.9,18.1,4
Tripp,South Dakota,42492,44446,49835,32,4.6,12.1,15
Walworth,South Dakota,43237,43197,45924,46,-0.1,6.3,38
Yankton,South Dakota,45361,47715,50275,28,5.2,5.4,41
Ziebach,South Dakota,19785,19879,20571,66,0.5,3.5,54
Tennessee,Tennessee,43726,44950,46900,--,2.8,4.3,--
Bledsoe,Tennessee,24290,25154,26281,94,3.6,4.5,23
Cannon,Tennessee,34023,34664,36113,52,1.9,4.2,47
Cheatham,Tennessee,40779,41769,43932,10,2.4,5.2,7
Cocke,Tennessee,30282,30637,31942,81,1.2,4.3,41
Crockett,Tennessee,34677,34675,36560,51,0,5.4,5
Dickson,Tennessee,37579,38766,40556,27,3.2,4.6,16
Dyer,Tennessee,37851,38310,40642,26,1.2,6.1,1
Fentress,Tennessee,30366,31029,32232,79,2.2,3.9,63
Giles,Tennessee,36794,37842,38766,37,2.8,2.4,85
Grainger,Tennessee,30848,31892,33490,71,3.4,5,9
Hamblen,Tennessee,35089,35134,36636,49,0.1,4.3,39
Hardeman,Tennessee,27863,28288,29430,89,1.5,4,57
Hawkins,Tennessee,32181,32806,34188,62,1.9,4.2,45
Loudon,Tennessee,44707,46340,48491,9,3.7,4.6,15
McMinn,Tennessee,33722,34645,35897,54,2.7,3.6,68
McNairy,Tennessee,31044,31310,32573,76,0.9,4,58
Maury,Tennessee,39918,40901,42696,14,2.5,4.4,31
Obion,Tennessee,37747,39042,40666,25,3.4,4.2,49
Overton,Tennessee,31101,32381,33701,67,4.1,4.1,54
Pickett,Tennessee,36616,38598,39686,31,5.4,2.8,83
Rhea,Tennessee,32753,32842,34147,63,0.3,4,59
Roane,Tennessee,38229,39241,40980,24,2.6,4.4,27
Sequatchie,Tennessee,35317,36474,38003,43,3.3,4.2,46
Trousdale,Tennessee,29789,28849,30090,87,-3.2,4.3,36
Unicoi,Tennessee,35358,35836,37423,46,1.4,4.4,28
Weakley,Tennessee,34868,36146,37316,47,3.7,3.2,77
Angelina,Texas,37061,37004,38897,169,-0.2,5.1,109
Aransas,Texas,43373,44891,48389,59,3.5,7.8,43
Archer,Texas,45567,47302,50310,50,3.8,6.4,62
Atascosa,Texas,33612,35464,36660,192,5.5,3.4,198
Austin,Texas,48451,48552,50702,49,0.2,4.4,141
Bailey,Texas,38914,43956,42507,115,13,-3.3,246
Bandera,Texas,41072,41696,43459,100,1.5,4.2,153
Bastrop,Texas,33552,34895,36561,196,4,4.8,125
Baylor,Texas,37051,39407,41704,128,6.4,5.8,76
Bee,Texas,26193,27543,28457,248,5.2,3.3,200
Bexar,Texas,42294,43878,46058,74,3.7,5,117
Blanco,Texas,47445,49915,51968,43,5.2,4.1,159
Borden,Texas,50311,52707,63756,11,4.8,21,3
Bosque,Texas,39752,40266,41592,131,1.3,3.3,201
Bowie,Texas,37579,38758,40010,150,3.1,3.2,204
Brazoria,Texas,45539,45575,47239,67,0.1,3.7,185
Brazos,Texas,35607,37278,39216,163,4.7,5.2,104
Brewster,Texas,42795,42271,45652,79,-1.2,8,38
Briscoe,Texas,29792,33565,35243,209,12.7,5,115
Burleson,Texas,39309,40718,42629,112,3.6,4.7,128
Burnet,Texas,43701,44593,46516,70,2,4.3,148
Callahan,Texas,36802,37170,39392,161,1,6,72
Camp,Texas,36857,37235,38660,172,1,3.8,174
Carson,Texas,41952,42974,46373,72,2.4,7.9,40
Castro,Texas,46415,50578,42786,110,9,-15.4,253
Childress,Texas,27827,28853,30084,242,3.7,4.3,152
Cochran,Texas,35567,40119,38312,174,12.8,-4.5,249
Coke,Texas,39278,39046,41895,125,-0.6,7.3,47
Coleman,Texas,36684,38663,40669,141,5.4,5.2,105
Collin,Texas,61716,63468,65874,9,2.8,3.8,176
Collingsworth,Texas,34724,35124,33039,227,1.2,-5.9,251
Comal,Texas,54832,56325,58067,22,2.7,3.1,211
Concho,Texas,19993,18998,19801,254,-5,4.2,155
Cooke,Texas,45948,50624,54174,36,10.2,7,52
Coryell,Texas,31900,33142,33996,221,3.9,2.6,222
Cottle,Texas,51899,57757,57288,25,11.3,-0.8,241
Crane,Texas,37159,42497,47758,64,14.4,12.4,15
Crosby,Texas,27201,30754,30773,235,13.1,0.1,240
Culberson,Texas,43992,47328,54180,35,7.6,14.5,11
Dallam,Texas,50879,53368,52148,42,4.9,-2.3,242
Deaf Smith,Texas,40441,41626,40470,145,2.9,-2.8,243
Denton,Texas,52275,53763,55933,30,2.8,4,161
DeWitt,Texas,48365,51763,54549,34,7,5.4,91
Dickens,Texas,30199,31270,31586,234,3.5,1,237
Dimmit,Texas,31542,34316,36639,194,8.8,6.8,56
Donley,Texas,39701,42778,45736,78,7.8,6.9,53
Eastland,Texas,48583,61573,71142,6,26.7,15.5,8
Ector,Texas,37676,42548,47271,66,12.9,11.1,19
Erath,Texas,35487,37707,39572,156,6.3,4.9,118
Falls,Texas,31365,31999,34619,215,2,8.2,32
Fisher,Texas,36334,35079,46444,71,-3.5,32.4,1
Foard,Texas,36709,39486,42954,106,7.6,8.8,29
Fort Bend,Texas,54204,55217,57540,24,1.9,4.2,157
Freestone,Texas,34850,35528,37066,190,1.9,4.3,146
Frio,Texas,26042,27076,27545,251,4,1.7,231
Gaines,Texas,32532,35234,36009,201,8.3,2.2,227
Galveston,Texas,48289,49618,51785,44,2.8,4.4,144
Garza,Texas,26060,27844,30072,243,6.8,8,37
Gillespie,Texas,54825,57351,60561,18,4.6,5.6,84
Glasscock,Texas,65947,91960,102145,3,39.4,11.1,20
Goliad,Texas,40438,41448,43858,95,2.5,5.8,78
Gonzales,Texas,37962,41211,43342,102,8.6,5.2,106
Gregg,Texas,43053,43101,45401,80,0.1,5.3,94
Grimes,Texas,32856,33946,35450,207,3.3,4.4,140
Hansford,Texas,53798,61180,62998,13,13.7,3,214
Hartley,Texas,53218,64268,62463,14,20.8,-2.8,244
Hays,Texas,40460,41539,43719,97,2.7,5.2,99
Hemphill,Texas,56371,55393,58484,20,-1.7,5.6,85
Hockley,Texas,37293,38165,38975,168,2.3,2.1,228
Hood,Texas,46383,48989,50741,48,5.6,3.6,191
Hudspeth,Texas,32556,31643,32472,228,-2.8,2.6,221
Hunt,Texas,35814,36753,38029,181,2.6,3.5,194
Irion,Texas,54521,63268,68327,7,16,8,39
Jack,Texas,36347,39458,44061,91,8.6,11.7,17
Jim Hogg,Texas,29683,29753,30696,236,0.2,3.2,207
Jim Wells,Texas,37170,38766,40570,144,4.3,4.7,130
Karnes,Texas,40470,46427,49593,55,14.7,6.8,55
Kaufman,Texas,39988,41440,42837,109,3.6,3.4,199
Kenedy,Texas,40440,48206,43561,98,19.2,-9.6,252
Kerr,Texas,45483,47670,50150,52,4.8,5.2,103
Kimble,Texas,42915,40848,43309,103,-4.8,6,71
King,Texas,53625,43682,55661,31,-18.5,27.4,2
Kinney,Texas,28701,28883,30431,240,0.6,5.4,92
Kleberg,Texas,35920,37388,38997,167,4.1,4.3,150
Lamb,Texas,34238,37320,38247,175,9,2.5,225
Lampasas,Texas,47330,48084,49457,57,1.6,2.9,217
La Salle,Texas,33293,34012,35809,204,2.2,5.3,98
Lavaca,Texas,46258,48444,50919,46,4.7,5.1,110
Lipscomb,Texas,48639,60405,64757,10,24.2,7.2,49
Live Oak,Texas,31056,33333,35636,206,7.3,6.9,54
Llano,Texas,45332,45617,47476,65,0.6,4.1,160
Loving,Texas,44530,50853,56730,27,14.2,11.6,18
Lubbock,Texas,39981,40717,42569,114,1.8,4.5,134
Lynn,Texas,31209,34432,33119,226,10.3,-3.8,247
McCulloch,Texas,34675,36784,37927,182,6.1,3.1,210
McLennan,Texas,38353,39680,41254,136,3.5,4,166
McMullen,Texas,63511,68178,72150,5,7.3,5.8,77
Matagorda,Texas,39340,40088,40596,143,1.9,1.3,235
Maverick,Texas,27495,28590,30505,238,4,6.7,59
Milam,Texas,35855,35117,36135,200,-2.1,2.9,216
Montague,Texas,37531,39683,42074,120,5.7,6,70
Motley,Texas,29494,28478,28938,245,-3.4,1.6,232
Nacogdoches,Texas,34687,35922,37755,184,3.6,5.1,112
Navarro,Texas,35887,36495,37922,183,1.7,3.9,169
Nolan,Texas,38196,40545,43087,105,6.1,6.3,63
Nueces,Texas,40231,42474,44378,87,5.6,4.5,138
Ochiltree,Texas,49636,53656,57287,26,8.1,6.8,58
Palo Pinto,Texas,35982,37631,39125,165,4.6,4,165
Parker,Texas,50291,51441,53289,40,2.3,3.6,189
Parmer,Texas,41817,47208,44981,82,12.9,-4.7,250
Pecos,Texas,31731,34110,36584,195,7.5,7.3,48
Presidio,Texas,38925,39788,42848,108,2.2,7.7,44
Rains,Texas,32407,32763,33602,224,1.1,2.6,223
Randall,Texas,45551,46249,47966,63,1.5,3.7,182
Reagan,Texas,38952,42138,48253,60,8.2,14.5,10
Real,Texas,32294,33159,34687,213,2.7,4.6,133
Refugio,Texas,38330,40243,42606,113,5,5.9,75
Rockwall,Texas,56490,58872,61003,16,4.2,3.6,187
Runnels,Texas,37946,38087,39816,153,0.4,4.5,136
Rusk,Texas,34172,34630,36485,198,1.3,5.4,93
San Augustine,Texas,35297,36961,39879,152,4.7,7.9,42
San Jacinto,Texas,32889,33448,34514,217,1.7,3.2,206
San Patricio,Texas,41228,41936,43945,93,1.7,4.8,124
San Saba,Texas,36539,36449,41233,137,-0.2,13.1,12
Schleicher,Texas,39972,35685,40136,149,-10.7,12.5,14
Scurry,Texas,37467,40083,42095,119,7,5,114
Shackelford,Texas,82974,108260,130461,1,30.5,20.5,5
Somervell,Texas,42809,43767,45756,77,2.2,4.5,135
Starr,Texas,24574,25447,26316,253,3.6,3.4,197
Sterling,Texas,50618,53915,58174,21,6.5,7.9,41
Stonewall,Texas,45758,49890,53416,39,9,7.1,51
Sutton,Texas,53952,57984,61478,15,7.5,6,69
Swisher,Texas,39019,43685,41977,122,12,-3.9,248
Tarrant,Texas,46461,48892,51239,45,5.2,4.8,123
Terry,Texas,28409,31760,32062,231,11.8,1,238
Throckmorton,Texas,34757,33231,35941,202,-4.4,8.2,34
Titus,Texas,32417,33215,34718,212,2.5,4.5,137
Tom Green,Texas,41696,43536,45993,75,4.4,5.6,82
Travis,Texas,58770,63418,67504,8,7.9,6.4,61
Tyler,Texas,31237,31071,32081,230,-0.5,3.3,203
Upshur,Texas,33947,34832,36645,193,2.6,5.2,102
Upton,Texas,37917,40889,44545,86,7.8,8.9,26
Uvalde,Texas,36481,37788,39458,157,3.6,4.4,142
Val Verde,Texas,34189,34655,36554,197,1.4,5.5,87
Van Zandt,Texas,35530,36756,38200,177,3.5,3.9,168
Victoria,Texas,41594,43635,46142,73,4.9,5.7,79
Waller,Texas,37201,38663,39995,151,3.9,3.4,196
Webb,Texas,29448,30153,31635,233,2.4,4.9,120
Wharton,Texas,39194,40086,41473,133,2.3,3.5,195
Wilbarger,Texas,38656,40141,42041,121,3.8,4.7,126
Willacy,Texas,26674,29508,28593,247,10.6,-3.1,245
Winkler,Texas,38122,47719,57584,23,25.2,20.7,4
Wise,Texas,40367,42208,43752,96,4.6,3.7,184
Yoakum,Texas,33280,39067,41112,138,17.4,5.2,100
Young,Texas,45297,47634,50231,51,5.2,5.5,89
Zapata,Texas,25198,26723,28294,249,6.1,5.9,74
Zavala,Texas,26243,27144,29202,244,3.4,7.6,45
Utah,Utah,42375,44002,46320,--,3.8,5.3,--
Box Elder,Utah,34463,35800,37390,15,3.9,4.4,19
Cache,Utah,35600,37518,38974,12,5.4,3.9,22
Daggett,Utah,37879,38788,41157,8,2.4,6.1,7
Duchesne,Utah,32963,35387,36709,17,7.4,3.7,23
Emery,Utah,29775,30630,33145,25,2.9,8.2,1
Juab,Utah,33159,34560,36087,19,4.2,4.4,20
Millard,Utah,34272,35195,35196,21,2.7,0,29
Piute,Utah,31175,33200,33716,24,6.5,1.6,27
Rich,Utah,34053,34189,35436,20,0.4,3.6,24
Salt Lake,Utah,48150,49866,52639,4,3.6,5.6,8
Sanpete,Utah,27233,27821,29209,28,2.2,5,16
Tooele,Utah,34269,35253,36836,16,2.9,4.5,18
Uintah,Utah,28580,30135,31563,27,5.4,4.7,17
Wasatch,Utah,48147,50664,53285,3,5.2,5.2,13
Weber,Utah,38222,39832,41853,7,4.2,5.1,15
Addison,Vermont,47763,49834,51805,8,4.3,4,9
Bennington,Vermont,49731,51601,54458,5,3.8,5.5,1
Caledonia,Vermont,39252,39877,41246,13,1.6,3.4,10
Chittenden,Vermont,57630,58562,60914,1,1.6,4,7
Grand Isle,Vermont,55911,57266,59204,3,2.4,3.4,11
Lamoille,Vermont,50569,51212,53953,6,1.3,5.4,2
Rutland,Vermont,49111,49838,52343,7,1.5,5,3
Windsor,Vermont,53480,55418,58116,4,3.6,4.9,4
Virginia,Vermont,53605,55306,57799,--,3.2,4.5,--
Accomack,Virginia,39211,40715,42764,56,3.8,5,18
Amelia,Virginia,42420,43064,44774,47,1.5,4,77
Amherst,Virginia,34660,35527,37160,85,2.5,4.6,37
Appomattox,Virginia,35934,36727,38302,78,2.2,4.3,51
Arlington,Virginia,87719,90893,95198,2,3.6,4.7,30
Bland,Virginia,33342,35331,37321,83,6,5.6,10
Botetourt,Virginia,47474,48228,50274,35,1.6,4.2,57
Buckingham,Virginia,28388,29450,30704,104,3.7,4.3,56
Charles City,Virginia,42147,43500,45824,45,3.2,5.3,12
Culpeper,Virginia,43564,44445,46510,42,2,4.6,35
Dickenson,Virginia,29614,31026,32354,101,4.8,4.3,52
Fauquier,Virginia,65092,67525,70787,7,3.7,4.8,25
Fluvanna,Virginia,41377,42829,44693,48,3.5,4.4,49
Goochland,Virginia,90133,96584,100545,1,7.2,4.1,68
Hanover,Virginia,56766,58166,60259,14,2.5,3.6,87
Henrico,Virginia,61381,64355,66836,10,4.8,3.9,82
Isle of Wight,Virginia,51671,53048,55308,21,2.7,4.3,55
King and Queen,Virginia,39771,41480,43361,54,4.3,4.5,42
King George,Virginia,49977,51051,53000,25,2.1,3.8,84
King William,Virginia,43771,45135,46612,41,3.1,3.3,92
Loudoun,Virginia,73295,74878,78070,5,2.2,4.3,54
Lunenburg,Virginia,31773,32208,33755,95,1.4,4.8,27
Mathews,Virginia,51777,53624,56088,20,3.6,4.6,38
New Kent,Virginia,65131,68728,70743,8,5.5,2.9,100
Nottoway,Virginia,32901,33522,34897,92,1.9,4.1,67
Patrick,Virginia,31917,32885,34070,93,3,3.6,86
Powhatan,Virginia,52427,54715,56607,18,4.4,3.5,88
Prince Edward,Virginia,29404,30979,31890,102,5.4,2.9,98
Rappahannock,Virginia,59184,61609,65538,12,4.1,6.4,5
Shenandoah,Virginia,41819,42958,45387,46,2.7,5.7,9
Smyth,Virginia,35394,35729,36955,86,0.9,3.4,89
Wythe,Virginia,33076,33997,35608,91,2.8,4.7,29
Independent cities:,Virginia,,,,,,,
Alexandria,Virginia,82954,84059,88008,3,1.3,4.7,32
Chesapeake,Virginia,47432,48528,50529,33,2.3,4.1,66
Newport News,Virginia,40504,41684,43501,52,2.9,4.4,48
Portsmouth,Virginia,38141,39585,41169,62,3.8,4,74
Roanoke,Virginia,41153,41824,43451,53,1.6,3.9,80
Virginia Beach,Virginia,53616,55731,58308,17,3.9,4.6,36
Combination areas2:,Virginia,,,,,,,
Albemarle + Charlottesville,Virginia,65680,70832,74613,6,7.8,5.3,13
Alleghany + Covington,Virginia,37033,38161,40061,69,3,5,21
"Augusta, Staunton + Waynesboro",Virginia,41224,42622,44316,50,3.4,4,76
Campbell + Lynchburg,Virginia,35469,36317,37719,81,2.4,3.9,81
Carroll + Galax,Virginia,33542,34908,36023,89,4.1,3.2,96
"Dinwiddie, Colonial Heights + Petersburg",Virginia,38252,39201,40352,66,2.5,2.9,99
"Fairfax, Fairfax City + Falls Church",Virginia,76787,78430,82441,4,2.1,5.1,16
Frederick + Winchester,Virginia,47257,48870,50802,30,3.4,4,79
Greensville + Emporia,Virginia,30127,31774,32391,100,5.5,1.9,105
Henry + Martinsville,Virginia,36849,37642,39367,71,2.2,4.6,39
James City + Williamsburg,Virginia,61603,62671,65906,11,1.7,5.2,15
Montgomery + Radford,Virginia,34667,36020,37759,80,3.9,4.8,26
Pittsylvania + Danville,Virginia,35604,36970,38497,77,3.8,4.1,64
Prince George + Hopewell,Virginia,36296,37675,38779,75,3.8,2.9,101
"Prince William, Manassas + Manassas Park",Virginia,51354,52555,54740,23,2.3,4.2,63
Roanoke + Salem,Virginia,49335,50124,52248,27,1.6,4.2,58
"Rockbridge, Buena Vista + Lexington",Virginia,37886,39150,40320,67,3.3,3,97
Rockingham + Harrisonburg,Virginia,36730,38469,39721,70,4.7,3.3,93
Southampton + Franklin,Virginia,38201,41300,42381,58,8.1,2.6,104
Spotsylvania + Fredericksburg,Virginia,47484,48759,50790,31,2.7,4.2,62
Washington + Bristol,Virginia,36780,39269,40912,63,6.8,4.2,61
Wise + Norton,Virginia,30550,31587,32988,98,3.4,4.4,46
York + Poquoson,Virginia,55146,56549,59113,16,2.5,4.5,43
Asotin,Washington,43722,45322,47104,16,3.7,3.9,26
Chelan,Washington,50079,52454,54763,6,4.7,4.4,21
Clallam,Washington,42593,44045,46120,20,3.4,4.7,16
Cowlitz,Washington,41827,43046,44990,22,2.9,4.5,17
Ferry,Washington,35572,36027,36071,39,1.3,0.1,39
Grays Harbor,Washington,37292,38942,40429,35,4.4,3.8,27
Island,Washington,50645,52459,55724,5,3.6,6.2,5
Kitsap,Washington,50518,52833,56244,3,4.6,6.5,4
Kittitas,Washington,39783,41114,42603,28,3.3,3.6,30
Klickitat,Washington,43991,46695,48654,14,6.1,4.2,24
Okanogan,Washington,40585,41514,42462,29,2.3,2.3,35
Pacific,Washington,39590,40409,41740,31,2.1,3.3,32
Pend Oreille,Washington,38751,40008,41664,32,3.2,4.1,25
Skagit,Washington,47870,50119,53060,8,4.7,5.9,8
Skamania,Washington,42513,43372,45802,21,2,5.6,11
Snohomish,Washington,50344,52453,55888,4,4.2,6.5,2
Spokane,Washington,42894,44552,46466,17,3.9,4.3,23
Wahkiakum,Washington,40111,40917,42423,30,2,3.7,28
Walla Walla,Washington,42464,44178,46144,19,4,4.5,19
Whatcom,Washington,45089,46719,48792,13,3.6,4.4,20
Whitman,Washington,36403,38557,40935,34,5.9,6.2,6
Yakima,Washington,40285,41868,43379,25,3.9,3.6,31
Braxton,West Virginia,29554,29945,31594,46,1.3,5.5,29
Brooke,West Virginia,37740,39736,41740,12,5.3,5,34
