county,state,2016,2017,2018,rank in State,% change 2017,% change 2018,rank 2018
Solano,California,46999,48364,51664,27,2.9,6.8,14
Sonoma,California,57566,60170,64501,13,4.5,7.2,10
Stanislaus,California,41417,42354,44120,43,2.3,4.2,39
Sutter,California,41972,42752,44535,41,1.9,4.2,38
Tehama,California,38608,40374,42483,46,4.6,5.2,23
Trinity,California,37286,37842,40640,48,1.5,7.4,7
Tulare,California,38198,39018,40420,50,2.1,3.6,49
Tuolumne,California,45467,46017,47838,34,1.2,4,45
Ventura,California,57136,58761,61712,17,2.8,5,27
Yolo,California,51225,52207,54118,22,1.9,3.7,48
Yuba,California,39140,39409,40929,47,0.7,3.9,46
Colorado,Colorado,52262,55335,58456,--,5.9,5.6,--
Adams,Colorado,39468,41170,43315,41,4.3,5.2,39
Alamosa,Colorado,34692,35437,37351,54,2.1,5.4,34
Arapahoe,Colorado,55001,56789,60180,13,3.3,6,24
Archuleta,Colorado,40004,40753,41947,46,1.9,2.9,54
Baca,Colorado,37660,41045,40968,48,9,-0.2,60
Bent,Colorado,28347,26363,27574,63,-7,4.6,45
Boulder,Colorado,64875,69298,73394,7,6.8,5.9,25
Broomfield,Colorado,60403,63170,66410,10,4.6,5.1,41
Chaffee,Colorado,42419,44340,46998,31,4.5,6,23
Cheyenne,Colorado,49789,56640,56699,17,13.8,0.1,59
Clear Creek,Colorado,56271,57914,61300,12,2.9,5.8,26
Conejos,Colorado,33689,34424,36894,57,2.2,7.2,7
Costilla,Colorado,32046,32846,34282,60,2.5,4.4,47
Crowley,Colorado,22499,19263,19141,64,-14.4,-0.6,61
Custer,Colorado,40092,39608,41681,47,-1.2,5.2,37
Delta,Colorado,33511,36373,38855,52,8.5,6.8,11
Denver,Colorado,63912,74396,79849,4,16.4,7.3,6
Dolores,Colorado,31756,33542,34935,59,5.6,4.2,50
Douglas,Colorado,68525,70029,73662,6,2.2,5.2,40
Eagle,Colorado,67973,73114,78152,5,7.6,6.9,10
Elbert,Colorado,52877,54624,57334,16,3.3,5,43
El Paso,Colorado,44858,46692,48467,27,4.1,3.8,53
Fremont,Colorado,32668,33558,35435,58,2.7,5.6,29
Gilpin,Colorado,44830,45826,48128,29,2.2,5,42
Grand,Colorado,44109,46817,49845,23,6.1,6.5,18
Gunnison,Colorado,43240,44676,47149,30,3.3,5.5,30
Hinsdale,Colorado,47152,49886,50698,20,5.8,1.6,56
Huerfano,Colorado,40006,40864,42459,43,2.1,3.9,52
Kiowa,Colorado,50980,52095,50117,22,2.2,-3.8,64
Kit Carson,Colorado,35270,37887,37274,55,7.4,-1.6,62
La Plata,Colorado,52412,53026,55807,18,1.2,5.2,36
Larimer,Colorado,48225,51497,54188,19,6.8,5.2,38
Las Animas,Colorado,37662,38267,40765,49,1.6,6.5,16
Mesa,Colorado,39828,42239,44935,37,6.1,6.4,19
Mineral,Colorado,63811,66179,71095,8,3.7,7.4,5
Moffat,Colorado,39176,39806,42130,45,1.6,5.8,27
Montezuma,Colorado,39596,40316,42998,42,1.8,6.7,13
Montrose,Colorado,36238,37663,39930,50,3.9,6,22
Otero,Colorado,35770,36194,38190,53,1.2,5.5,32
Ouray,Colorado,55449,56013,59639,15,1,6.5,17
Park,Colorado,41331,43280,45113,36,4.7,4.2,49
Pitkin,Colorado,136366,138328,149207,1,1.4,7.9,4
Prowers,Colorado,40961,40067,42259,44,-2.2,5.5,33
Pueblo,Colorado,36228,37540,39511,51,3.6,5.3,35
Rio Blanco,Colorado,42729,44284,46809,32,3.6,5.7,28
Rio Grande,Colorado,43524,43609,46717,33,0.2,7.1,8
Routt,Colorado,69428,78253,83702,3,12.7,7,9
Saguache,Colorado,30364,28846,30172,61,-5,4.6,44
San Juan,Colorado,46639,45219,44029,40,-3,-2.6,63
San Miguel,Colorado,75263,80349,85432,2,6.8,6.3,20
Sedgwick,Colorado,48141,48630,49004,26,1,0.8,57
Summit,Colorado,61033,63601,67763,9,4.2,6.5,15
Teller,Colorado,46057,47164,49197,25,2.4,4.3,48
Weld,Colorado,43632,44173,46172,34,1.2,4.5,46
Connecticut,Connecticut,69741,72213,76456,--,3.5,5.9,--
Fairfield,Connecticut,107221,112769,120630,1,5.2,7,1
Hartford,Connecticut,60291,61938,64853,4,2.7,4.7,6
Litchfield,Connecticut,59880,61387,64949,3,2.5,5.8,2
Middlesex,Connecticut,63956,65598,68673,2,2.6,4.7,7
New Haven,Connecticut,52621,53605,56650,6,1.9,5.7,3
New London,Connecticut,54805,56545,59264,5,3.2,4.8,5
Tolland,Connecticut,53227,54193,56614,7,1.8,4.5,8
Windham,Connecticut,43740,45004,47264,8,2.9,5,4
Delaware,Delaware,48505,50350,52507,--,3.8,4.3,--
Kent,Delaware,39074,40438,42023,3,3.5,3.9,2
New Castle,Delaware,51859,54198,56745,1,4.5,4.7,1
Sussex,Delaware,47517,48601,50333,2,2.3,3.6,3
District of Columbia,District of Columbia,77475,78969,82005,--,1.9,3.8,--
Florida,Florida,45684,47869,50070,--,4.8,4.6,--
Alachua,Florida,40608,42455,44390,25,4.5,4.6,21
Baker,Florida,29613,31076,32313,50,4.9,4,34
Bay,Florida,41019,41499,43231,26,1.2,4.2,30
Bradford,Florida,31464,32876,33557,46,4.5,2.1,60
Brevard,Florida,41793,43371,45425,21,3.8,4.7,19
Broward,Florida,46394,47977,50269,12,3.4,4.8,18
Charlotte,Florida,39292,39868,41564,31,1.5,4.3,27
Citrus,Florida,35856,36614,37920,35,2.1,3.6,50
Collier,Florida,83659,87092,92686,1,4.1,6.4,3
DeSoto,Florida,23274,23869,23610,65,2.6,-1.1,66
Dixie,Florida,25421,26862,27956,60,5.7,4.1,32
Duval,Florida,42326,44458,46174,19,5,3.9,37
Flagler,Florida,42114,44092,46220,18,4.7,4.8,17
Gadsden,Florida,32160,33483,35139,43,4.1,4.9,14
Gilchrist,Florida,31259,33217,33774,45,6.3,1.7,61
Glades,Florida,22152,23510,24467,63,6.1,4.1,33
Gulf,Florida,32157,33871,35701,40,5.3,5.4,10
Hamilton,Florida,23831,25063,26016,62,5.2,3.8,40
Hardee,Florida,26913,28844,28285,59,7.2,-1.9,67
Hernando,Florida,34899,35601,36878,38,2,3.6,48
Highlands,Florida,32174,32922,33453,47,2.3,1.6,62
Hillsborough,Florida,43617,45129,47000,17,3.5,4.1,31
Holmes,Florida,28049,29598,30468,56,5.5,2.9,55
Indian River,Florida,69832,72149,76059,5,3.3,5.4,9
Leon,Florida,41273,42380,44482,24,2.7,5,13
Levy,Florida,32833,34477,35204,42,5,2.1,59
Liberty,Florida,22151,23087,23582,66,4.2,2.1,58
Manatee,Florida,44361,45404,47378,16,2.4,4.3,26
Miami-Dade,Florida,43920,47813,50022,13,8.9,4.6,20
Nassau,Florida,53450,55738,57877,9,4.3,3.8,39
Okaloosa,Florida,45470,47111,48875,15,3.6,3.7,43
Okeechobee,Florida,29138,30568,30661,55,4.9,0.3,64
Palm Beach,Florida,70241,75183,79760,4,7,6.1,5
Pinellas,Florida,48707,50917,53455,10,4.5,5,12
Putnam,Florida,29831,30823,31773,52,3.3,3.1,54
St. Johns,Florida,61829,65660,68149,6,6.2,3.8,41
St. Lucie,Florida,37426,37958,39374,34,1.4,3.7,44
Santa Rosa,Florida,41771,42972,44527,23,2.9,3.6,46
Sarasota,Florida,58513,61378,64868,7,4.9,5.7,7
Seminole,Florida,44301,46782,49049,14,5.6,4.8,16
Suwannee,Florida,30649,31943,33068,49,4.2,3.5,51
Taylor,Florida,27618,28878,30346,57,4.6,5.1,11
Volusia,Florida,39151,40566,42374,29,3.6,4.5,23
Wakulla,Florida,33511,35087,37026,36,4.7,5.5,8
Walton,Florida,55051,57822,59728,8,5,3.3,52
Georgia,Georgia,42693,44536,46482,--,4.3,4.4,--
Appling,Georgia,30860,32080,33268,108,4,3.7,99
Atkinson,Georgia,26599,28764,30511,135,8.1,6.1,6
Bacon,Georgia,31025,32775,33080,112,5.6,0.9,155
Banks,Georgia,32945,35226,36276,67,6.9,3,131
Barrow,Georgia,34232,35560,36898,61,3.9,3.8,93
Bartow,Georgia,36124,36844,38298,45,2,3.9,80
Ben Hill,Georgia,29201,29877,31436,126,2.3,5.2,23
Berrien,Georgia,28453,30179,31535,124,6.1,4.5,46
Bleckley,Georgia,31002,32278,33672,107,4.1,4.3,55
Brantley,Georgia,26424,26353,27413,151,-0.3,4,72
Brooks,Georgia,32586,33137,34944,89,1.7,5.5,18
Bryan,Georgia,49828,50022,52456,7,0.4,4.9,29
Bulloch,Georgia,30191,30825,32382,120,2.1,5.1,26
